,name1,name2,cat_id
0,کاپشن کوهنوردی پر سنگین نورث فیس,,0
1,پالتو خزدار مارک اصلی,,0
2,کاپشن مدل Bako,,0
3,کاپشن سالامون salomon پارچه گورتکس کره اعلا آب بادگیر,,0
4,کاپشن‌‌‌ نظامی‌‌‌ آمریکایی‌‌‌ سبز,,0
5,کاپشن1122,,0
6,İÇİ KÜRKLÜ KANGURU CEP MONT SU GEÇİRMEZ UNISEX,,0
7,کاپشن دوپوش آب فورکلاز,,0
8,کاپشن زمستانی مدل آلفا,,0
9,نیم پالتو دکمه,,0
10,کاپشن آب زیپ پارچه کره‌ای کتان مدل PC,,0
11,کاپشن کوهنوردی تاکتیکال کاپشن اصل کوهنوردی کاپشن کوهنوردی اصل کاپشن کوهنوردی خارجی اصل پوشاک خارجی آمریکایی اروپایی عربی اماراتی دبی محصولات پوشاک اصل محصولات پوشاک اورجینال کاپشن کوهنوردی اورجینال کاپشن,,0
12,کاپشن پلار اسنوهاک مدل,,0
13,کاپشن برزنتی اورجینال برند sologanc Medium Sologanc,Sologanc,0
14,کاپشن هوشمند شیائومی مدل Temperature Control Jacket Xiaomi Ninetygo Smart Heated Down Parka,Xiaomi Ninetygo Smart Heated Down Parka,0
15,کاپشن سلیکونی زنانه ضمانت علی بابا کاپشن پاییزی سلیکونی پوش رنگ سایز,,0
16,کاپشن the north face,,0
17,کاپشن دورویه,,0
18,کاپشن کوهنوردی دوپوش؛ مارک جک لاو JEKELAW مدل پوش پر کد JKW,,0
19,کاپشن مشکی شمعی198639,,0
20,کاپشن چریکی آدیداس,,0
21,بادگیر مشتی نورث فیس North Face Fist Windshield Pro white,North Face Fist Windshield Pro-white,0
22,کاپشن خارجی,,0
23,نیم پالتو,,0
24,شکت فوتر,,0
25,کاپشن کار زمستانی سبز یشمی,,0
26,کاپشن شلوار مدل دومان,,0
27,کاپشن گورتکس کمت لایت میلت MIV7739 KAMET LIGHT GJM,,0
28,کاپشن خز,,0
29,کاپشن طیفی,,0
30,کاپشن کوهنوردی کلمبیا مدل OMNI TECH,,0
31,کاپشن کوهنوردی نورث فیس مدل HX,,0
32,کاپشن مدل AML,,0
33,کاپشن بلند مشکی,,0
34,کاپشن برند CB Sports,,0
35,کاپشن کار زمستانی مشکی,,0
36,کاپشن تارتان بلند H98,,0
37,کاپشن چرم کروکو مدل لیونارد,,0
38,کاپشن کارتال مدا ICC,,0
39,کاپشن پر طوسی کد,,0
40,کاپشن چرم,,0
41,کاپشن طوسی تیره مدلAidin,,0
42,کاپشن جین ترک آبی 4xl,,0
43,پافر,,0
44,پافر شمعی G STAR رنگ طوسی سربی,,0
45,پالتو فوتر ترک,,0
46,اورکت خزدار,,0
47,لباس کاتا آدیداس اونس اصل adidas kata gi,,0
48,HORSEFEATHERS CORDON II STORM,,0
49,کاپشن چرم,,0
50,بادگیر بلوز شلوار خزدار درجه طرح چرم فری سایز ضدآب,,0
51,HORSEFEATHERS HALEN II INSULATED FLAME RED,,0
52,کاپشن,,0
53,کاپشن برشکا,,0
54,بادگیر بلوز شلوار خزدار کرتکس ژاپن درز درجه,,0
55,پافر,,0
56,کاپشن ضدآب ضدباد برند CRIVIT Waterproof and windproof jacket CRIVIT,Waterproof and windproof jacket CRIVIT,0
57,کاپشن شمعی PHILIPP PLEIN رنگ سرمه,,0
58,کاپشن فرم آستر فسفری ستادی اورژانس,,0
59,پافر زرد مشکی 3XL,,0
60,کاپشن زمستانی پارچه شمعی رنگ سبز تیره آستر پشم شیشه ویدئو کد,,0
61,کاپشن بارونی,,0
62,کاپشن کتان Jeep,Jeep 8642,0
63,کاپشن شمعی مدل DEFACTO رنگ مشکی,,0
64,کاپشن میکرو آب نیم تنه یقه خزدار مشکی XL,,0
65,HORSEFEATHERS SPENCER BURGUNDY BLUE MIRAGE,,0
66,کاپشن رنگ زرشکی,,0
67,کاپشن L,,0
68,کاپشن Fashion,,0
69,کاپشن Kiabi,,0
70,کاپشن خلبانی شمعی لایه مشکی M,,0
71,کاپشن کراپ,,0
72,کاپشن طرح چریکی,,0
73,کاپشن اور,,0
74,برند میلت Millet,Millet,0
75,پافر,,0
76,کاپشن برشکا مشکی L,,0
77,OAKLEY HOLLY ANORAK BLACKOUT,,0
78,پانجو کوله داربرند کمپسور,,0
79,کاپشن A003,,0
80,کاپشن اورجینال THE NORTH FACE,,0
81,کاپشن شمعی مدل DEFACTO رنگ طوسی,,0
82,کاپشن سیلیکونی آب اصل یقه طرحدار استین گت انگشتی کار آستر کشی گرم,,0
83,کاپشن کتان کرمی L Kapshan mardaneh katan,Kapshan mardaneh katan,0
84,کاپشن COLINS کد CL1055715,,0
85,کاپشن طرح لویی ویتون کد,,0
86,پالتو پشمی هوگرو,,0
87,کاپشن شمعی PHILIPP PLEIN رنگ سبز یشمی,,0
88,کاپشن خلبانی چرمی نوبوک یقه خز قهوه نیروی هوایی دری مد,,0
89,کاپشن دوپوش,,0
90,پالتو فوتر ترک,,0
91,کاپشن شمعی مدل PHILIPP PLEIN رنگ سبز زیتونی درسایزهای XL XXL,,0
92,پافر زنانه,,0
93,کاپشن پلیسی کمر کش,,0
94,کاپشن ریباک REEBOK IC9165,,0
95,کاپشن آب برند نویکا Nevica,Nevica,0
96,کاپشن چرم مدل Artim Artim,Artim,0
97,کاپشن کتان,,0
98,کاپشن شمعی PHILIPP PLEIN رنگ شتری,,0
99,کاپشن چرمی ریس برند SPYKE ایتالیا,,0
100,کاپشن کتان خز ضخیم برند جیپ سنگشور,,0
101,بادگیر خارجی استر پسرانه رنگ سایز فروشگاه سام سنتر L سرمه سفید,,0
102,کاپشن فلیپ بلین ترک s,,0
103,تدی خوزان,,0
104,کاپشن پاف فورکلاز – پر – آبی – MT500 °C,,0
105,کاپشن مموری بادی Kiyan XL,,0
106,بارانی کچوا مشکی – زیپ Raincut,,0
107,کاپشن الیاف فورکلاز مدل Trek کد,,0
108,کاپشن وارداتی,,0
109,کاپشن پوست ماری رنگ سایز سام سنتر L مشکی,,0
110,بادگیر بلوز شلوار دیجیتالی سبز خزدار درجه,,0
111,کاپشن چرم کنیاک فورد دری مد,,0
112,کاپشن اورجینال نیم تنه پلیسی,,0
113,کاپشن چرم مشکی اسپرت پاسکال دری مد,,0
114,کاپشن شمعی مدل DEFACTO رنگ سرمه,,0
115,کاپشن پر سنگین برند کلمبیا Colombia,Colombia,0
116,کاپشن سلیکونی,,0
117,HORSEFEATHERS HALEN II INSULATED BLUE MIRAGE,,0
118,پالتو مدل ماهوت یقه بلیزر کد TH رنگ سرمه,,0
119,بادگیر اورجینال برند معتبر استثنای Jeantex آلمان,,0
120,کاپشن چرم اسلیم فیت اسلیم فیت قهوه دورانت دری مد,,0
121,کاپشن پر کرمی کد,,0
122,پافر تدی پسرانه سایز رنگ کیفیت فروشگاه سام سنتر M مشکی,,0
123,کاپشن اورکت آمریکایی جیپ کد C8823,,0
124,کاپشن بارونی,,0
125,کاپشن C151,,0
126,کاپشن پشمه شیشه‌دار مدل کمرکش,,0
127,پافر کد Men s west,Men's west,0
128,کاپشن بهاره آندر آرمور مدل UA SPORTSTYLE,,0
129,کاپشن پافر L مموری,,0
130,کاپشن مموری Alma XL,,0
131,کاپشن آبی مشکی مدل,,0
132,کاپشن یقه هوگرو,,0
133,کاپشن Fila مدل Silva نوک مدادی پارچه مموری لایه دارای لایه پشم شیشه سایز L کاپشن 75cm,,0
134,پالتو مشکی چرم خزدار,,0
135,تی شرت,,0
136,پالتو فوتر دیورسو Diverso,,0
137,کاپشن جین آلومینیوم سپاس,,0
